Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,82,2,Some Random Commen with Id 0
1,0,8,137,3,Some Random Commen with Id 1
2,0,8,38,0,Some Random Commen with Id 2
3,0,8,110,4,Some Random Commen with Id 3
4,0,8,0,1,Some Random Commen with Id 4
5,0,8,178,0,Some Random Commen with Id 5
6,0,8,142,2,Some Random Commen with Id 6
7,0,8,70,9,Some Random Commen with Id 7
8,1,9,29,7,Some Random Commen with Id 8
9,1,9,0,1,Some Random Commen with Id 9
10,1,9,55,5,Some Random Commen with Id 10
11,1,9,170,3,Some Random Commen with Id 11
12,1,9,141,2,Some Random Commen with Id 12
13,1,9,71,4,Some Random Commen with Id 13
14,1,9,142,5,Some Random Commen with Id 14
15,1,9,35,0,Some Random Commen with Id 15
16,1,9,144,0,Some Random Commen with Id 16
17,2,7,107,9,Some Random Commen with Id 17
18,2,7,152,1,Some Random Commen with Id 18
19,2,7,23,9,Some Random Commen with Id 19
20,2,7,22,1,Some Random Commen with Id 20
21,2,7,69,4,Some Random Commen with Id 21
22,2,7,185,4,Some Random Commen with Id 22
23,3,7,38,7,Some Random Commen with Id 23
24,3,7,49,4,Some Random Commen with Id 24
25,3,7,31,9,Some Random Commen with Id 25
26,3,7,49,3,Some Random Commen with Id 26
27,4,5,196,8,Some Random Commen with Id 27
28,4,5,55,3,Some Random Commen with Id 28
29,4,5,38,2,Some Random Commen with Id 29
30,5,4,147,1,Some Random Commen with Id 30
31,5,4,37,3,Some Random Commen with Id 31
32,5,4,100,4,Some Random Commen with Id 32
33,5,4,12,5,Some Random Commen with Id 33
34,5,4,138,3,Some Random Commen with Id 34
35,5,4,41,3,Some Random Commen with Id 35
36,6,1,195,7,Some Random Commen with Id 36
37,6,1,145,1,Some Random Commen with Id 37
38,6,1,148,9,Some Random Commen with Id 38
39,7,4,139,4,Some Random Commen with Id 39
40,7,4,0,3,Some Random Commen with Id 40
41,7,4,75,4,Some Random Commen with Id 41
42,7,4,32,0,Some Random Commen with Id 42
43,7,4,49,1,Some Random Commen with Id 43
44,7,4,180,0,Some Random Commen with Id 44
45,7,4,123,6,Some Random Commen with Id 45
46,7,4,69,2,Some Random Commen with Id 46
47,7,4,11,0,Some Random Commen with Id 47
48,8,3,107,5,Some Random Commen with Id 48
49,8,3,56,0,Some Random Commen with Id 49
50,8,3,82,1,Some Random Commen with Id 50
51,8,3,51,4,Some Random Commen with Id 51
52,8,3,12,1,Some Random Commen with Id 52
53,8,3,132,2,Some Random Commen with Id 53
54,8,3,72,2,Some Random Commen with Id 54
55,8,3,167,5,Some Random Commen with Id 55
56,8,3,67,8,Some Random Commen with Id 56
57,9,7,115,1,Some Random Commen with Id 57
58,9,7,32,4,Some Random Commen with Id 58
59,9,7,78,9,Some Random Commen with Id 59
60,9,7,71,0,Some Random Commen with Id 60
61,12,8,110,2,Some Random Commen with Id 61
62,12,8,24,9,Some Random Commen with Id 62
63,13,3,11,2,Some Random Commen with Id 63
64,13,3,52,5,Some Random Commen with Id 64
65,13,3,117,9,Some Random Commen with Id 65
66,13,3,53,8,Some Random Commen with Id 66
67,13,3,60,9,Some Random Commen with Id 67
68,13,3,118,2,Some Random Commen with Id 68
69,14,9,180,0,Some Random Commen with Id 69
70,14,9,66,6,Some Random Commen with Id 70
71,14,9,124,5,Some Random Commen with Id 71
72,14,9,62,9,Some Random Commen with Id 72
73,14,9,75,8,Some Random Commen with Id 73
74,14,9,164,9,Some Random Commen with Id 74
75,15,5,96,4,Some Random Commen with Id 75
76,15,5,180,3,Some Random Commen with Id 76
77,15,5,189,3,Some Random Commen with Id 77
78,15,5,185,3,Some Random Commen with Id 78
79,15,5,78,5,Some Random Commen with Id 79
80,15,5,5,4,Some Random Commen with Id 80
81,16,8,33,5,Some Random Commen with Id 81
82,16,8,156,3,Some Random Commen with Id 82
83,16,8,164,0,Some Random Commen with Id 83
84,16,8,91,6,Some Random Commen with Id 84
85,16,8,18,3,Some Random Commen with Id 85
86,16,8,161,9,Some Random Commen with Id 86
87,16,8,19,3,Some Random Commen with Id 87
88,16,8,92,5,Some Random Commen with Id 88
89,17,0,102,4,Some Random Commen with Id 89
90,17,0,196,9,Some Random Commen with Id 90
91,17,0,126,3,Some Random Commen with Id 91
92,17,0,65,0,Some Random Commen with Id 92
93,18,6,156,3,Some Random Commen with Id 93
94,18,6,165,9,Some Random Commen with Id 94
95,18,6,48,6,Some Random Commen with Id 95
96,18,6,19,8,Some Random Commen with Id 96
97,18,6,20,8,Some Random Commen with Id 97
98,18,6,5,0,Some Random Commen with Id 98
99,18,6,197,4,Some Random Commen with Id 99
100,19,5,19,4,Some Random Commen with Id 100
101,19,5,126,2,Some Random Commen with Id 101
102,19,5,152,1,Some Random Commen with Id 102
103,19,5,152,6,Some Random Commen with Id 103
104,19,5,61,5,Some Random Commen with Id 104
105,19,5,98,7,Some Random Commen with Id 105
106,20,1,121,9,Some Random Commen with Id 106
107,20,1,86,0,Some Random Commen with Id 107
108,20,1,53,0,Some Random Commen with Id 108
109,20,1,111,9,Some Random Commen with Id 109
110,20,1,71,9,Some Random Commen with Id 110
111,21,3,76,9,Some Random Commen with Id 111
112,21,3,175,9,Some Random Commen with Id 112
113,21,3,1,0,Some Random Commen with Id 113
114,21,3,0,5,Some Random Commen with Id 114
115,21,3,94,3,Some Random Commen with Id 115
116,21,3,68,0,Some Random Commen with Id 116
117,21,3,15,3,Some Random Commen with Id 117
118,21,3,187,9,Some Random Commen with Id 118
119,21,3,85,5,Some Random Commen with Id 119
120,22,3,68,4,Some Random Commen with Id 120
121,22,3,167,6,Some Random Commen with Id 121
122,22,3,149,5,Some Random Commen with Id 122
123,23,6,148,6,Some Random Commen with Id 123
124,23,6,2,3,Some Random Commen with Id 124
125,23,6,156,6,Some Random Commen with Id 125
126,23,6,14,8,Some Random Commen with Id 126
127,23,6,150,8,Some Random Commen with Id 127
128,24,6,104,4,Some Random Commen with Id 128
129,24,6,100,8,Some Random Commen with Id 129
130,24,6,82,3,Some Random Commen with Id 130
131,24,6,44,9,Some Random Commen with Id 131
132,26,2,131,7,Some Random Commen with Id 132
133,26,2,99,4,Some Random Commen with Id 133
134,26,2,162,6,Some Random Commen with Id 134
135,27,7,157,1,Some Random Commen with Id 135
136,27,7,145,4,Some Random Commen with Id 136
137,27,7,161,2,Some Random Commen with Id 137
138,27,7,14,7,Some Random Commen with Id 138
139,27,7,71,0,Some Random Commen with Id 139
140,29,4,150,2,Some Random Commen with Id 140
141,29,4,162,8,Some Random Commen with Id 141
142,29,4,18,1,Some Random Commen with Id 142
143,29,4,73,1,Some Random Commen with Id 143
144,29,4,135,1,Some Random Commen with Id 144
145,29,4,41,4,Some Random Commen with Id 145
146,29,4,173,8,Some Random Commen with Id 146
147,29,4,127,8,Some Random Commen with Id 147
148,29,4,149,6,Some Random Commen with Id 148
149,31,8,23,0,Some Random Commen with Id 149
150,33,9,91,9,Some Random Commen with Id 150
151,33,9,98,4,Some Random Commen with Id 151
152,33,9,117,6,Some Random Commen with Id 152
153,33,9,174,5,Some Random Commen with Id 153
154,33,9,75,4,Some Random Commen with Id 154
155,33,9,33,1,Some Random Commen with Id 155
156,34,4,130,1,Some Random Commen with Id 156
157,34,4,107,5,Some Random Commen with Id 157
158,34,4,175,1,Some Random Commen with Id 158
159,34,4,56,5,Some Random Commen with Id 159
160,34,4,21,3,Some Random Commen with Id 160
161,34,4,98,6,Some Random Commen with Id 161
162,34,4,18,8,Some Random Commen with Id 162
163,35,5,12,5,Some Random Commen with Id 163
164,35,5,171,9,Some Random Commen with Id 164
165,35,5,42,9,Some Random Commen with Id 165
166,35,5,190,8,Some Random Commen with Id 166
167,35,5,176,4,Some Random Commen with Id 167
168,35,5,144,6,Some Random Commen with Id 168
169,35,5,112,9,Some Random Commen with Id 169
170,36,1,75,9,Some Random Commen with Id 170
171,36,1,127,2,Some Random Commen with Id 171
172,36,1,88,6,Some Random Commen with Id 172
173,36,1,103,4,Some Random Commen with Id 173
